distance between two feet,waist angle,Left knee angle,Right knee angle,distance between the hips and feet
91.53284866726418,161.0946184926891,130.19443796319038,128.38543931796684,289.7827924203504
86.39185970424033,157.5395511607159,121.98172778361659,123.68024706810843,286.1898782280568
83.52788050424363,156.6663607095997,122.07903136450689,123.73943387271167,284.079339534785
82.54708269340203,155.86776916027395,123.11367937556135,124.17938317155901,283.2117787888451
81.15680740107774,156.73340153940896,124.34907913693672,125.17148098970773,279.5257093897611
81.17698482335545,156.85743032444367,123.84503236728962,125.02792905193525,280.62530422589947
81.10453644004761,154.8046751437894,127.38968155388541,125.79084224242939,280.86619777245096
81.27355408009981,155.86604800945872,127.40290251946146,126.71585608862377,279.1155844855366
81.40884895700044,156.28880298941993,127.51695613601373,126.98528320444586,279.2669553095257
81.29063238224913,154.2295465013712,127.42134691087513,125.93699432746877,280.5254087893238
79.749127124876,154.9918629264962,126.36507675787735,125.3487527259393,278.76753620243596
79.8678144535356,157.18683266861981,123.34993453658149,123.7115812717196,276.26158553996316
80.64832245522044,157.28195765696933,123.93700557511642,123.68915237332088,277.40515325955346
79.90756825308853,156.42464889650694,124.08412928343924,122.65053676141791,278.3215480568448
80.50158320363674,155.4523761199763,124.01241345091962,122.29661124586467,279.2553656949807
80.22826491356943,155.62254978186877,122.95421049894082,122.08636029287585,278.7262793850021
80.54657795722513,155.39507708485823,123.32907117819967,122.3039525833135,279.2799910249562
80.5168013132791,155.7496405503477,123.3136504408174,122.41037192355685,279.50638366772506
80.53033881115742,156.4580574762572,122.81925197232306,122.5064249201727,278.6147867556244
81.97424364978531,156.84861054003636,126.42386275912034,124.23139391759521,281.122308114109
81.71019879371667,157.91150452852534,127.32878022729386,123.21015672791951,274.7056221354087
82.53338411403337,157.16828241673784,128.9052372045118,123.43268103535331,274.36697602165253
84.60222879773814,154.9824502393606,128.5348909104983,124.05422238969314,278.0043839357191
86.03734951049786,152.5891297041924,127.9358004287113,124.84966349599189,276.12352772789677
89.12553230040834,156.28452851661092,128.423423556517,127.26997736796271,268.59860361719547
88.5522931286311,157.45920414454343,128.00932445440924,128.02536905615932,267.91437485866845
87.95136708789121,158.6815582065579,128.59348318504334,129.319330219256,266.727344469958
87.6355851150002,159.1496949506517,127.94153840551745,128.93178273815514,267.05375192970985
89.0296859872189,158.74381546910516,128.46869026285927,130.396622958841,269.5027810547742
88.77365421313779,158.2780777846283,128.37813372623302,129.93951555172504,268.8939009105515
88.38270928169365,157.63972471813344,128.94308284656702,130.27004666669444,269.11230833041407
88.71339517439748,156.86093560806032,128.51767443072976,129.9778026926729,268.9823807505606
88.47561891752304,156.82835825358663,128.15610299506582,129.80594764760164,268.644407530725
87.69611784452923,156.39414793113443,127.45240367008213,128.76745114964413,269.2493709710198
87.94857201886116,157.88758396917734,127.60395812368036,129.0203677343694,271.1976069078849
86.56285466019706,157.50593126615667,125.65560347248032,127.70876241399195,274.1701572421287
85.23299938590371,160.49179813064453,127.48502954831521,130.0588986609021,273.64487192959
85.74730539041991,163.74403079634217,131.98509503073277,134.6170735112129,272.8805857626186
83.65031786335923,166.44560619699737,128.32408591285605,141.42995999296878,247.76025660641534
84.23371146068172,164.2331506958609,130.82205785071451,142.42611577888317,239.77654181099703
84.35465809710625,160.01734067069478,132.3803654411387,148.73082200768908,228.8139204202349
84.52298895210993,157.93493849301828,129.28181369179944,145.98829556375236,227.2292016372098
85.58148985171067,160.37983849761733,137.90631417802965,146.38813267970966,226.99862250264985
85.7337172795015,158.77412638597082,137.3437490538102,147.53293479605594,225.52820232950543
85.52947034570165,158.59231207241416,141.7229487174275,151.75839332358686,221.9377412187376
86.21785364152281,150.95340917109817,127.49918832706021,139.07684437555184,219.76095259462573
87.41801557925221,151.37576988568316,133.5349350365776,144.57584979079382,215.68968034332292
90.70251865411291,142.16805573332886,112.72513399462483,115.51147648705768,212.94363924339876
91.96078889082092,135.72553369786422,98.87740353405259,104.29608616173519,209.02125432166653
92.73365137324438,135.0228769907676,100.10317285782084,99.64160507678311,205.15986966075644
92.79174865726844,137.2953761721039,102.60963668084533,100.94726605300782,202.33700462802645
88.87809669950032,129.54783681178225,93.92327460002895,99.86661445355911,203.4737286452443
