distance between two feet,waist angle,Left knee angle,Right knee angle,distance between the hips and feet
101.03138174557279,162.8676593189699,136.42805491270542,133.50693976684283,250.79587536919988
101.19927289005588,166.27754598658458,127.96941638983404,130.2594703700642,251.11099080522445
101.26097647575247,166.1424377626701,127.89184888230511,129.2577609410266,252.38501586787098
101.19060395827984,166.0188722525684,128.05013109063066,129.67511608365137,253.88691472081697
100.47875551494012,162.34468245376075,135.22072661675017,134.23230954840267,252.60617665791463
100.95789529389936,161.00640751928694,138.8551293413053,137.69473762749803,249.8712055365438
101.62719399946877,163.3845235276692,142.58374594187782,142.3910502473809,242.07568929496637
101.77145586691445,168.80644943030154,142.88608025838352,145.2644923477587,235.8981828182471
101.88599765015542,168.33418270156838,142.37859008182627,147.13435661833813,231.5599362759233
102.67177778755206,153.77458466359175,136.15886559365018,144.73686075084717,234.26239087917244
102.01295619092264,145.37269831213177,125.20572679483526,131.97744746593284,249.83456305509173
101.94303742896575,140.07549379517985,119.81976963532264,126.91676645610775,248.32907249857274
101.98451216774744,131.0497425433286,112.18298592787895,122.36478226793253,245.42385221321024
102.3411236654185,127.24907444725883,106.04426455742784,118.05823101357959,242.1646702868176
103.01901340027793,116.66048686379851,97.34295127941297,106.27825035501768,231.12906690215152
104.84931179652826,103.06735770692852,84.94372544333316,78.3698237577365,214.77240061992686
108.18835183158089,96.93299682100343,72.48550773428875,67.04202557940614,205.53588787870146
107.97344887876979,86.25452530203418,57.01340720048353,54.78752542229993,200.1114325722515
107.81676865671595,85.48475702743103,56.20976763510639,51.967050402365686,199.55386224070008
105.12387249962862,86.93946357522718,53.56086582750656,49.762173716449475,213.60750174781555
104.83439490643364,99.92004604257727,48.01266943649076,45.593514190277176,209.14330502277434
105.3170605234677,110.50417683623482,49.93850803513742,46.48142947706592,212.1895071766804
104.84715414504488,108.70391625914141,46.93206827663393,44.30242120849663,222.69962787695215
105.65242638569936,110.26603063317023,44.65997972026697,43.13325868867424,219.8688154950846
105.07615403819294,108.54913051272177,43.36504359737584,41.89853187522507,245.01846534683958
106.05359578696562,117.06479747662313,45.45506918249346,43.651452134459255,250.77819676334033
106.71471418869812,113.08981685279255,43.98887937986196,41.88954069068835,249.20251232048668
106.26555827005068,115.99693670466299,43.86796044130725,41.26826377285039,255.72992904180555
106.25313480897547,112.02787670330125,40.13431303427442,38.18358583823775,249.3602780603873
107.25028082311496,107.7186815653943,38.3006656396818,36.620763321985535,250.7880503849958
107.4905013291881,105.29394502629505,39.063786831021254,37.67172396874257,270.99964156197177
107.78472453553958,103.59310214482069,38.09734891668708,37.35336387456014,272.6965703585418
108.63421936837413,100.98950483191878,38.98249501758965,39.69880233159852,296.86481437718186
109.05279548710088,99.83867180655324,38.974229641406346,39.51273428422683,293.07691490827216
110.56979875777597,92.02493336565222,36.81766210616346,37.379008595465976,290.8913011969977
109.53057568370947,89.79723326200039,35.873735547605364,35.91951127806515,273.3436657928043
111.90874867311423,84.15689885279805,35.252570087667614,33.98150508696671,268.3706759002485
112.63750071413479,84.08276174756031,35.41765332317253,33.60904458347745,266.33878754645485
110.2034217950779,77.39715956208043,34.63345194612356,33.48965123030185,243.72001688643354
111.03851757817883,75.3754700232441,34.764180570629264,33.384281611982516,238.14460976444522
110.17265164574437,78.51964438626821,38.11029649061275,36.38256054231374,237.26279039747706
108.67742787166688,83.19864874727118,38.3527881782197,36.92965634416516,230.6099272101312
108.9693211213185,74.71143292046168,36.526876469376475,35.63646054917661,223.45779859338938
107.42302584678433,78.80179611590869,38.10086616394817,37.24794135103862,220.23486136630683
107.51996411854059,103.84128516361187,41.373888659897446,40.241326445628594,206.12195083491557
107.3146047635881,103.45216491276061,44.92526281252624,43.54346099589125,202.58925744832212
107.12563270672,96.22290809604742,47.650749002651054,44.91607685106421,207.3067361843364
107.840538299136,90.5441124594145,50.52886809791794,48.129127302984266,206.21672549070942
105.89473954987766,98.88706676610016,60.0305970953765,56.331602768872145,201.9651410684414
105.0107895291836,106.34288903334377,70.39265011324719,67.0895174938293,214.13105711020083
