back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,is_stand,is_back_front,is_knee_narrow,is_knee_wide
159.1883902,156.720074,147.4064875,149.5567131,84.21478891,105.1847579,90.90136156,95.81315581,1,0,0,0
159.7311881,159.3228236,150.5299561,149.6900133,85.15764162,102.2177724,86.74347378,98.79581083,1,0,0,0
159.4681145,157.0607144,153.6124986,152.4501799,84.22080063,102.9828679,86.8443562,100.8961553,1,0,0,0
156.9740768,154.829194,156.541736,152.397541,88.57818341,98.24796584,86.31839872,102.2000283,1,0,0,0
155.5422802,153.8860975,158.1245448,153.9684772,89.98299092,97.49420675,87.14943129,101.8956648,1,0,0,0
158.6747694,154.7166845,151.8669488,153.2949109,84.13629985,103.4042244,86.82676013,102.6217101,1,0,0,0
158.6061387,152.8110591,151.5879865,156.5655312,79.3672191,107.6714897,85.85567883,103.5248053,1,0,0,0
160.9080013,154.7084138,156.27897,159.761979,82.33988401,104.7882883,88.5917124,99.19203399,1,0,0,0
159.8771847,152.8239714,155.4867214,159.56375,82.1531553,105.8546783,89.47933646,97.84533185,1,0,0,0
160.0140588,151.5617868,155.1579358,161.6285334,82.08821184,106.6907314,90.43069191,97.02934771,1,0,0,0
159.1244868,151.9994543,154.5043329,160.9703055,83.46566383,105.300353,91.59133816,96.2469623,1,0,0,0
158.0372101,153.115733,154.1555552,159.2823512,85.72950894,102.5351463,92.82386866,95.97626771,1,0,0,0
157.8526986,152.3398272,155.1027396,158.9474977,85.98522891,102.0163059,92.88496662,96.67955998,1,0,0,0
158.0164489,153.0599891,159.0166713,161.1419629,88.2685168,100.4653011,92.98443143,97.73827006,1,0,0,0
158.0927297,152.3650587,158.7456815,161.4986913,87.78139568,101.0104056,93.19290865,98.34201856,1,0,0,0
157.9552562,152.3315667,157.8543661,161.1598485,87.477464,101.2164044,93.1148506,98.32678216,1,0,0,0
158.32727,151.7984287,154.4483043,159.0692368,84.69119705,103.1030612,92.96062623,98.9148942,1,0,0,0
159.3363847,152.053933,152.9100116,158.728243,82.16756122,105.8255366,93.37608855,99.36944326,1,0,0,0
159.6581608,151.2651168,151.4247288,159.0404329,80.09065162,107.940496,93.47155268,100.4158139,1,0,0,0
158.0176104,150.020717,152.9616863,159.7903042,80.10436653,108.0435337,93.51975133,100.9829187,1,0,0,0
157.074048,151.443502,152.467415,157.384691,81.45111045,105.4866434,93.56649332,101.0936125,1,0,0,0
154.877815,152.4909437,154.3539358,156.6081993,84.05770851,102.5804878,93.69449317,100.5890924,1,0,0,0
152.5168334,150.6143729,155.5697472,156.0152726,85.15708902,100.058669,94.30155584,101.0275968,1,0,0,0
149.9330735,150.1827125,158.0299274,154.622291,87.57913966,96.95742644,95.73445128,100.6685644,1,0,0,0
149.9042383,150.1288542,158.3779985,153.6564055,87.19574087,96.68013429,95.73102678,101.3017066,1,0,0,0
149.6024213,150.8870322,160.7199616,154.5415571,87.80317426,95.48580393,96.11187824,100.9718566,1,0,0,0
149.1197074,150.4053052,161.4283414,153.881306,88.11948067,95.30245849,96.39256269,101.3607616,1,0,0,0
149.8907268,151.5982432,161.2130227,153.5760025,87.85757051,94.88734063,97.65543184,101.4511853,1,0,0,0
151.4778689,152.6529773,156.3551957,151.1869525,85.77860457,96.27024727,98.9316772,101.9367777,1,0,0,0
153.9855255,153.3908711,143.9661137,145.9812446,81.69688209,98.13046176,103.3251246,102.4020939,1,0,0,0
153.8532939,156.0130158,131.9092257,124.7817894,84.84867154,93.08559798,106.6943834,101.691726,1,0,0,0
146.8587466,149.9039228,111.7741769,109.0324144,81.82345451,95.03480951,110.9855337,99.88549422,1,0,0,0
138.4275883,136.0277629,97.75839837,87.55691081,84.34995752,91.58651192,111.9079895,96.82284397,1,0,0,0
145.6300559,138.3745389,114.4555641,94.90958841,86.97010279,88.58235689,111.8466273,100.2137333,1,0,0,0
131.7729192,124.5139253,89.19235184,74.86209387,86.12245693,88.35571521,112.8340947,96.78788386,1,0,0,0
122.104663,119.0046323,80.95094566,72.30603244,82.03317979,88.53657642,113.9841763,96.65033996,1,0,0,0
122.0167485,121.0271276,86.28002409,78.45481085,80.4632129,89.15671008,114.9479836,99.94794963,1,0,0,0
118.1690627,116.2429393,77.7966401,68.3462617,80.45209123,87.67364158,114.9967632,99.42954294,1,0,0,0
115.4664937,114.9040152,73.00318827,66.10820653,80.00313332,88.31699808,113.7732741,98.88534189,1,0,0,0
113.6857103,113.7447521,68.53934245,65.45759637,79.29533353,88.11670321,112.6538586,99.70139606,1,0,0,0
111.4353486,111.245117,65.64163836,60.86178862,80.60219345,85.12718952,112.2443027,100.1392414,1,0,0,0
109.9324826,112.1393689,67.8091619,65.96145018,77.16863844,86.34977529,111.6415438,103.8459862,1,0,0,0
105.1283258,106.5608655,64.28268837,58.29770951,79.22795309,84.13993053,110.456701,103.5505232,1,0,0,0
95.85660013,100.6931662,61.96719201,59.99426807,76.0469693,86.2954019,109.0085682,105.9364816,1,0,0,0
88.18528476,91.67306794,63.70069914,57.31152875,78.69793764,83.53814568,108.9829677,105.8299817,1,0,0,0
88.36538332,91.89665043,61.72843041,55.58445588,78.61018068,82.6000477,108.9933013,105.6981515,1,0,0,0
88.06307691,90.31873505,58.90168323,53.49226108,78.32752276,80.37706525,109.3666152,106.8003403,1,0,0,0
86.56908728,89.2264733,55.8407004,52.05820538,78.17497921,79.33110207,109.2764073,106.3648594,1,0,0,0
84.51441378,87.94310884,52.40491428,48.96011531,78.49623861,78.62456878,109.2236593,106.072885,0,0,0,0
84.35001721,87.82693698,53.68577168,52.05523382,78.09983668,76.61465743,109.2014259,107.4631105,0,0,0,0
82.25614571,87.61210349,54.87187214,50.91683388,76.97922652,77.05516836,108.9528259,108.2567568,0,0,0,0
81.88734785,88.81661158,55.48789487,53.28882669,75.53810538,75.70668419,110.3911425,108.7602668,0,0,0,0
77.64328839,85.19790906,55.26751908,50.07776783,75.32659589,75.82864382,111.1185511,109.3509217,0,0,0,0
72.88217759,77.99915903,52.62178876,45.50448447,77.1322005,73.62650678,112.2139423,107.9903594,0,0,0,0
70.6535296,73.5041262,49.5623767,42.10640397,77.15866817,73.62399225,112.3761447,107.7483116,0,0,0,0
63.40324826,65.09362271,45.25800735,40.20334153,77.36163012,73.58206301,111.9700777,106.9030989,0,0,0,0
60.08432881,62.61401759,44.93159795,43.59570184,75.88346917,71.96207499,113.6178373,107.0703711,0,0,0,0
56.07347448,57.62816436,42.15105334,41.38998366,79.10913488,68.78946795,113.6959539,105.5698983,0,0,0,0
56.47445291,57.54296068,42.47336561,41.57882684,78.9081602,68.02400321,114.1207279,105.8160853,0,0,0,0
54.01580987,54.53540835,40.77571042,37.13231572,80.79640808,67.62316332,113.383761,105.1861259,0,0,0,0
42.6478864,41.87589758,32.06158767,29.38290415,87.7413911,66.41089858,106.4354863,104.4859467,0,0,0,0
44.55467953,43.83628919,34.66604797,31.90188307,85.76442122,66.73004624,105.583839,107.123175,0,0,0,0
46.98566217,49.3919104,38.15005632,34.38456093,83.02830178,67.0466133,107.0350835,108.6048849,0,0,0,0
49.22126744,50.86205988,36.98141591,34.24779036,83.30804509,67.05619375,107.4488599,108.7782524,0,0,0,0
50.40216755,52.02445305,37.90424512,34.80141961,82.63798209,67.29752717,107.9666016,108.6839757,0,0,0,0
53.68198848,54.35896158,41.10269551,37.11287011,79.51790132,68.27285333,111.2572836,108.1297951,0,0,0,0
54.09994346,52.81231727,41.70319946,36.33041496,79.86806976,67.95490545,113.8684653,105.887817,0,0,0,0
53.56124247,50.71407958,39.46910295,33.12321387,83.24832037,66.86491033,114.6684821,102.8621799,0,0,0,0
64.61118065,60.52610753,45.37005774,37.4297818,81.3279834,66.60465806,119.4134459,102.0180668,0,0,0,0
74.71254514,71.05980395,51.30592082,41.16756074,79.71745713,67.20379503,121.0222889,102.4112348,0,0,0,0
81.0802569,80.78017129,55.89055172,46.76972008,78.4570936,68.51675513,120.1400447,102.8630772,0,0,0,0
