back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,knee_knee_dis
114.3,112.2,103.5,116.4,69.8,78.5,145.5,143.0,1.9
113.0,110.0,102.1,114.5,70.0,78.7,146.9,145.3,1.9
112.6,105.5,101.8,110.7,71.3,78.7,148.0,149.4,1.9
111.6,101.2,100.7,106.8,71.7,78.9,149.4,153.6,1.8
107.8,96.4,96.8,102.4,71.6,79.0,153.2,158.2,1.8
104.3,92.4,93.5,98.5,71.7,78.8,156.8,161.8,1.8
101.8,88.2,90.9,94.1,71.8,78.3,159.3,165.8,1.8
99.2,85.0,88.8,90.8,72.0,78.0,161.7,168.8,1.9
96.0,81.7,86.0,88.1,72.1,78.2,164.9,171.3,1.9
94.6,80.9,84.7,87.2,71.9,77.7,166.5,171.2,1.9
93.3,78.8,83.2,84.7,71.7,76.9,167.8,172.9,1.9
92.2,76.7,81.5,82.8,71.6,76.6,169.2,174.7,1.9
90.7,75.1,79.5,80.9,71.1,76.2,170.5,176.4,1.9
90.6,75.1,78.9,81.0,70.6,76.1,170.9,175.9,1.9
90.1,73.0,78.0,78.9,70.6,75.8,171.2,178.3,1.9
88.2,71.3,76.0,76.8,70.4,75.6,172.8,179.6,1.9
84.7,69.3,71.1,74.3,69.0,75.1,176.7,177.8,2.0
81.8,67.0,67.5,71.5,68.2,74.7,179.3,175.3,2.0
77.8,63.7,62.8,67.0,67.6,73.4,176.7,172.0,2.1
73.3,60.9,58.0,63.9,67.1,73.1,172.3,169.5,2.1
67.9,58.7,52.9,61.5,67.0,73.0,166.6,167.8,2.1
66.0,57.4,51.5,60.8,67.3,73.3,164.9,166.7,2.2
61.8,54.7,47.7,58.3,67.6,73.6,160.7,164.1,2.2
59.5,52.5,46.4,56.9,68.7,73.7,158.4,162.5,2.2
57.4,52.0,44.8,56.5,69.1,74.0,155.9,162.3,2.2
54.6,50.4,42.4,54.9,69.4,74.0,152.9,161.0,2.2
53.5,49.6,41.9,54.0,69.6,74.1,152.1,160.2,2.2
53.3,49.3,41.7,53.9,69.4,74.4,151.9,160.0,2.2
53.3,48.6,42.2,53.9,69.2,75.1,152.7,159.1,2.2
52.5,47.9,41.6,53.2,69.1,75.3,152.1,158.2,2.2
50.1,46.9,39.3,52.2,68.9,75.7,149.7,157.3,2.2
48.6,45.9,37.8,51.2,68.8,75.8,147.9,156.4,2.2
47.5,45.0,36.5,50.4,68.7,75.9,146.7,155.6,2.2
47.9,45.5,36.6,50.6,68.4,75.7,147.0,156.1,2.2
48.4,45.4,36.5,50.1,67.5,75.5,147.8,155.7,2.2
48.5,45.2,36.5,49.6,67.3,75.4,148.2,155.2,2.2
48.2,44.8,36.3,48.8,67.1,75.4,148.3,154.3,2.2
48.0,44.6,36.4,48.1,67.1,75.4,148.5,153.4,2.2
47.8,44.4,36.7,47.4,67.2,75.5,148.7,152.7,2.2
47.6,44.3,36.5,47.3,67.1,75.5,148.7,152.5,2.2
47.5,44.0,36.3,47.0,66.8,75.6,148.8,152.1,2.2
47.4,43.1,36.1,46.4,66.7,75.7,148.8,151.3,2.2
47.5,42.9,36.2,46.4,66.8,75.8,148.8,151.1,2.2
48.1,43.1,36.5,46.5,66.8,75.8,149.4,151.0,2.2
48.9,43.3,36.7,46.8,66.7,75.7,150.0,151.2,2.2
49.9,43.6,37.3,47.1,66.7,75.6,150.7,151.5,2.2
50.8,44.0,37.9,47.5,66.7,75.5,151.3,151.9,2.2
51.4,44.0,38.1,47.5,66.8,75.3,151.5,152.0,2.2
51.6,43.4,38.2,47.3,67.0,75.3,151.4,151.8,2.2
52.4,43.4,38.9,47.5,67.3,75.2,152.2,151.7,2.2
52.8,43.4,39.4,47.6,67.4,75.1,152.7,151.7,2.2
53.5,43.9,39.9,48.0,67.2,75.0,153.4,152.2,2.2
53.7,44.9,40.3,48.7,67.2,75.1,153.7,153.0,2.2
54.0,45.4,40.6,49.0,67.2,75.1,153.9,153.3,2.2
54.2,46.0,40.8,49.4,67.3,75.1,154.0,153.8,2.2
54.6,46.4,41.3,49.7,67.5,75.0,154.1,154.4,2.2
54.4,46.2,41.2,49.7,67.9,74.7,153.7,154.6,2.1
55.4,46.6,42.2,50.1,68.7,74.4,154.2,155.0,2.1
56.3,48.3,43.1,51.7,68.9,74.3,154.8,156.8,2.0
